Level,Date,State FIPS,State Postal Code,County FIPS,County Name,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500,Row ID
National,2020-07-11,,,,,81888780,245278654,931395618,247748541,229621690,112270605,137573472,126919720,44750270,19164372,9898917,2197315,1250716,00-00000-20200711
National,2020-07-12,,,,,85239143,241928291,823561548,213793741,204875911,99799420,121665951,110645318,39602402,18686120,10643064,2365762,1483859,00-00000-20200712
National,2020-07-13,,,,,78255877,248911557,911765772,235753208,215982986,106255377,136310880,136685643,49340139,18876937,9207845,2086738,1266019,00-00000-20200713
National,2020-07-14,,,,,79590590,247576844,949128966,247589575,227260363,110932348,141221179,142129549,50803324,18297419,8117872,1795624,981713,00-00000-20200714
National,2020-07-15,,,,,78460238,248707196,963899518,249587944,231322869,113315502,143853380,145079329,51670554,18577259,7953122,1716460,823099,00-00000-20200715
National,2020-07-16,,,,,79063819,248103615,971386900,252787562,232449699,113584462,144392952,146275468,52060886,18961694,8383852,1756212,734113,00-00000-20200716
National,2020-07-17,,,,,78987441,248179993,975527169,251006721,235200296,114789601,145582123,146201028,51870781,19456813,8937303,1784985,697518,00-00000-20200717
National,2020-07-18,,,,,85095758,242071676,940582659,247301126,234841129,113169028,138499196,130526460,45734018,18881539,8951406,1892499,786258,00-00000-20200718
National,2020-07-19,,,,,91567202,235600232,804283941,206975547,202294490,96306592,117935083,110153147,39509553,18197245,9860775,2090380,961129,00-00000-20200719
National,2020-07-20,,,,,86409502,240757932,930030696,239951169,224110218,108745275,138487058,140690807,50058036,18005794,7758480,1554271,669588,00-00000-20200720
National,2020-07-21,,,,,82985381,244182053,922317615,235380553,216595225,107811207,139416388,142092284,51196618,18791034,8334996,1760087,939223,00-00000-20200721
National,2020-07-22,,,,,81477809,245689625,924903392,233646832,217247667,109003768,140814150,142772942,51371726,18863007,8422283,1782934,978083,00-00000-20200722
National,2020-07-23,,,,,82417168,244750266,900818534,227670952,210502478,105221248,136322609,139331554,50463067,19272522,9033832,1942497,1057775,00-00000-20200723
National,2020-07-24,,,,,78917813,248249621,968972594,244375876,228685450,115057891,147274763,147240664,52652883,20774294,9938432,1965822,1006519,00-00000-20200724
National,2020-07-25,,,,,85536625,241630809,895714428,229804448,216971797,108411061,135567831,128139352,45346975,19271107,9293547,1938674,969636,00-00000-20200725
National,2020-07-26,,,,,86627901,240539533,873134026,217947122,212968720,106069058,132145167,122969394,44269336,21450838,11681802,2351296,1281293,00-00000-20200726
National,2020-07-27,,,,,84141818,243025616,931756931,233703958,218940933,109452668,141483001,142782879,51902117,20281768,9703797,2135400,1370410,00-00000-20200727
National,2020-07-28,,,,,80626059,246541375,963629991,240464735,224431351,113488309,147211145,150315883,54378403,20561432,9433004,2085996,1259733,00-00000-20200728
National,2020-07-29,,,,,82305092,244862342,949558438,236151292,221991839,111534133,144819862,147998134,53922588,20376571,9406886,2098700,1258433,00-00000-20200729
National,2020-07-30,,,,,78830823,248336611,963127123,237601601,225178600,113796758,147071981,149400759,54633211,21283698,10435094,2351018,1374403,00-00000-20200730
National,2020-07-31,,,,,80484851,246682583,941170596,231546512,221597631,110583074,142535694,144780119,53408631,21651225,11229990,2471052,1366668,00-00000-20200731
National,2020-08-01,,,,,86581029,240586405,891507342,223944090,216743970,107311440,133713842,127722009,46509141,20688801,10949571,2515289,1409189,00-00000-20200801
National,2020-08-02,,,,,89833618,237333816,836925254,208222928,208137448,101151801,124345334,116380384,42554168,20572240,11910655,2496974,1153322,00-00000-20200802
National,2020-08-03,,,,,81944351,245223083,955065517,243911160,229638237,110977143,141101241,144708828,52684245,19733205,9438642,1992366,880450,00-00000-20200803
National,2020-08-04,,,,,79005703,248161731,1003243900,263636994,242520531,117236770,148263493,150194154,52960839,18349669,7842898,1618425,620127,00-00000-20200804
National,2020-08-05,,,,,79040859,248126575,1023776980,272324660,246442462,118634356,150257743,152645603,54004843,18887677,8180961,1735963,662712,00-00000-20200805
National,2020-08-06,,,,,77520939,249646495,1028973769,271840312,245795588,119238399,151479028,154422702,55093698,19784663,8783477,1816020,719882,00-00000-20200806
National,2020-08-07,,,,,77102422,250065012,1004535529,254547148,242504779,118076556,149941563,152290805,54477986,20433432,9614513,1890126,758621,00-00000-20200807
National,2020-08-08,,,,,82032981,245134453,932427591,229844802,233395829,114463573,140860660,134236676,47834602,19757076,9393075,1872660,768638,00-00000-20200808
National,2020-08-09,,,,,85309499,241857935,907249665,220836790,230115797,110985230,135758155,127217608,46082141,21302378,11664667,2366289,920610,00-00000-20200809
National,2020-08-10,,,,,79873225,247294209,992001082,240203451,241386609,117275202,149782583,154414964,56700778,20367377,9086226,1962202,821690,00-00000-20200810
National,2020-08-11,,,,,79559905,247607529,1021140014,247998487,246890516,121334601,155166478,160046997,58434651,20409100,8358451,1787623,713110,00-00000-20200811
National,2020-08-12,,,,,77404387,249763047,950523560,227428557,225611830,111997573,144686556,150122103,55790871,20365930,9520056,2416029,2584055,00-00000-20200812
National,2020-08-13,,,,,74016638,253150796,972032466,229885032,229539687,116009270,149499627,153000951,56324839,21336205,10502842,2704916,3229097,00-00000-20200813
National,2020-08-14,,,,,70950409,256217025,1027371026,242132387,244373615,123600032,158457132,159585404,58093445,23074285,11887363,2861616,3305747,00-00000-20200814
National,2020-08-15,,,,,76872825,250294609,958228815,227187649,233569365,118203064,147666633,141107802,51257596,22128595,11080161,2680695,3347255,00-00000-20200815
National,2020-08-16,,,,,85309497,241857937,860750115,194661801,209450397,106195882,133366335,125601473,46371512,23231611,13769956,3487758,4613390,00-00000-20200816
National,2020-08-17,,,,,83201280,243966154,946939450,217212730,223102445,112761130,146232464,150268731,56086515,22107089,11290143,3207858,4670345,00-00000-20200817
National,2020-08-18,,,,,79559902,247607532,916015128,207964568,211699248,107667949,141669405,148891809,56363048,22222984,11192522,3340533,5003062,00-00000-20200818
National,2020-08-19,,,,,77404387,249763047,966987965,225624378,225180293,113472962,148491035,155214819,57941493,22162877,10964521,3186656,4748931,00-00000-20200819
National,2020-08-20,,,,,74016637,253150797,972143612,227731450,226250347,113941678,148488021,155243808,58292547,22619836,11477015,3238416,4860494,00-00000-20200820
National,2020-08-21,,,,,70950409,256217025,1039969974,246221133,247045759,123226695,158537375,161787814,59625040,23716032,12180560,3120606,4508960,00-00000-20200821
National,2020-08-22,,,,,76872822,250294612,973147172,230627589,236865962,118243204,148778894,143848139,52717529,22828800,11405023,3068725,4763307,00-00000-20200822
National,2020-08-23,,,,,87825890,239341544,783583424,181810846,194446685,96369278,120554976,113291463,40849042,19182295,10805648,2685390,3587801,00-00000-20200823
National,2020-08-24,,,,,85099245,242068189,860172856,202328874,207673616,102241050,131106448,134890619,49518746,18233374,8468554,2309244,3402331,00-00000-20200824
National,2020-08-25,,,,,81735768,245431666,908517386,212024001,218692179,109063704,140259032,144002853,52366703,18497163,8274750,2228337,3108664,00-00000-20200825
National,2020-08-26,,,,,82957486,244209948,891521703,207143097,213473073,106732811,138085525,142499674,51981243,18707403,8549505,2145959,2203413,00-00000-20200826
National,2020-08-27,,,,,83256913,243910521,900465647,209434244,216676067,107817506,138955432,143252512,52424777,19206085,9119774,2128352,1450898,00-00000-20200827
National,2020-08-28,,,,,81463581,245703853,930081333,214023191,224327194,111967053,144039001,147025037,53815221,20829896,10296469,2258541,1499730,00-00000-20200828
National,2020-08-29,,,,,85554661,241612773,911132859,214057298,227287353,112768158,141420697,135021610,47687069,19700072,9483986,2136097,1570519,00-00000-20200829
National,2020-08-30,,,,,91508837,235658597,818596514,189938436,205570433,100304605,125501034,118980491,42870519,19883246,11164576,2558972,1824202,00-00000-20200830
National,2020-08-31,,,,,85286387,241881047,883425327,210482568,212823894,103809744,133919212,138440148,50996750,19264708,9534745,2317755,1835803,00-00000-20200831
National,2020-09-01,,,,,83386029,243781405,947075087,227508410,230208090,112901564,144496964,146979215,53364835,19260360,8977451,2099857,1278341,00-00000-20200901
National,2020-09-02,,,,,83560706,243606728,955274244,228363145,231198437,113264354,145875822,150057519,54643514,19515391,8967210,2112077,1276775,00-00000-20200902
National,2020-09-03,,,,,78019866,249147568,1014265682,247356999,245183168,120168561,153531369,156458872,56557432,20947376,10152714,2373580,1535611,00-00000-20200903
National,2020-09-04,,,,,82296390,244871044,977783273,231450013,236303846,115535388,148117875,151420834,55667375,22767494,12335244,2707163,1478041,00-00000-20200904
National,2020-09-05,,,,,83945279,243222155,978712771,240176517,242854447,118566379,147796720,141559087,51198995,22198149,10890781,2213739,1257957,00-00000-20200905
National,2020-09-06,,,,,91402851,235764583,836329188,202555916,207736080,100062181,125722326,120785735,44460678,20378713,10778029,2333275,1516255,00-00000-20200906
National,2020-09-07,,,,,93798762,233368672,794092125,190418550,197450791,94794453,117720885,113301092,42198745,20746594,12835880,2934730,1690405,00-00000-20200907
National,2020-09-08,,,,,86972956,240194478,944099192,218129877,228468688,113106284,145894113,150542062,54508166,20050441,9575917,2273986,1549658,00-00000-20200908
National,2020-09-09,,,,,84653410,242514024,970868397,224763417,233741435,115969798,150637558,156011219,56484149,20179017,9259763,2266453,1555588,00-00000-20200909
National,2020-09-10,,,,,84323123,242844311,937345487,218097678,226132559,110810394,143961843,149625267,54953396,20196427,9594825,2352703,1620395,00-00000-20200910
National,2020-09-11,,,,,81465325,245702109,1015175641,235615494,247237048,121734473,156909743,159524581,57697994,21857264,10750645,2350933,1497466,00-00000-20200911
National,2020-09-12,,,,,88386989,238780445,923721323,216419156,230251682,113289822,142680796,138040129,49327544,20210814,9797942,2215031,1488407,00-00000-20200912
National,2020-09-13,,,,,91455844,235711590,795912208,171148006,201165150,97525347,124353814,121984395,44787222,21359047,9403666,2355769,1829792,00-00000-20200913
National,2020-09-14,,,,,86424313,240743121,950728835,219840200,232504775,114101016,146667972,150614655,54616507,19627556,9058153,2185471,1512530,00-00000-20200914
National,2020-09-15,,,,,85233936,241933498,972601976,227027267,235557127,116302417,150054378,154363841,56350124,20160476,9101841,2223639,1460866,00-00000-20200915
National,2020-09-16,,,,,84745886,242421548,965918750,219732792,232574967,116008470,150713002,156170816,57150976,20390232,9365744,2283492,1528259,00-00000-20200916
National,2020-09-17,,,,,83880059,243287375,974382067,222466325,235795481,117267263,151121371,155550212,57295194,21001889,10011401,2387785,1485146,00-00000-20200917
National,2020-09-18,,,,,82381397,244786037,1033724520,239638268,252444306,124827247,159418384,160572132,58899431,22739997,11377476,2434343,1372936,00-00000-20200918
National,2020-09-19,,,,,86365850,240801584,1019561474,241403357,253966198,125769970,157121039,150351556,54564965,22367248,10491997,2227109,1298035,00-00000-20200919
National,2020-09-20,,,,,89050789,238116645,843105354,203230454,213540416,104056835,128026216,119258591,42219501,19039636,10509425,2162758,1061522,00-00000-20200920
National,2020-09-21,,,,,90266169,236901265,879031829,206159253,217321191,105144101,134008744,138750279,50534023,17333479,7422823,1653111,704825,00-00000-20200921
National,2020-09-22,,,,,82236364,244931070,959360953,229823968,235764979,113999166,146224943,151933942,54643274,17826165,7014402,1570568,559546,00-00000-20200922
National,2020-09-23,,,,,78480405,248687029,995406238,236753769,244471466,119432181,153271328,157866042,56089530,18168262,7199126,1587204,567330,00-00000-20200923
National,2020-09-24,,,,,78174083,248993351,982687545,231726565,240231341,117924412,151112910,156302974,55997810,18895334,7984773,1785866,725560,00-00000-20200924
National,2020-09-25,,,,,75880937,251286497,1035023287,242505136,254439619,125251772,159719281,163016468,58050477,20479739,9229178,1755464,576153,00-00000-20200925
National,2020-09-26,,,,,82915787,244251647,999516029,237866790,251473792,123622837,153751298,148741757,53180203,20444500,8335851,1545041,553960,00-00000-20200926
National,2020-09-27,,,,,86483123,240684311,880305669,212378862,224622927,108064263,133067869,125617230,44516910,19472703,10029303,1883901,651701,00-00000-20200927
National,2020-09-28,,,,,81225334,245942100,950665855,224582136,236147256,114622230,145461754,148914327,53623564,18107885,7220157,1437765,548781,00-00000-20200928
National,2020-09-29,,,,,81461516,245705918,949508146,215547734,231333469,113996233,147923891,154541720,57300069,20240505,6822888,1365973,435664,00-00000-20200929
National,2020-09-30,,,,,81311288,245856146,960570145,214510233,233776415,114987264,150087375,157651050,59215854,21517219,7002568,1380441,441726,00-00000-20200930
National,2020-10-01,,,,,78207847,248959587,980903679,226984925,240444739,118521687,152043542,155346740,56887813,20789322,7766759,1553225,564927,00-00000-20201001
National,2020-10-02,,,,,81290696,245876738,953667329,219778936,236310969,116949997,148313576,148165072,53055640,20140558,8977193,1526787,448601,00-00000-20201002
National,2020-10-03,,,,,87024735,240142699,927183815,211617611,232870469,115875992,145425969,140020416,50670372,20819646,8108259,1343768,431313,00-00000-20201003
National,2020-10-04,,,,,91147567,236019867,816502309,188942337,208005957,101292401,125862507,118251777,42415942,19830015,9755475,1638486,507412,00-00000-20201004
National,2020-10-05,,,,,91039791,236127643,884596531,201791012,218952250,106121335,135898589,139644871,52669560,20438089,7376108,1298618,406099,00-00000-20201005
National,2020-10-06,,,,,83952997,243214437,945009501,214143882,231697723,114685587,147481852,150983766,56244042,21053294,7092270,1252040,375045,00-00000-20201006
National,2020-10-07,,,,,81605770,245561664,975907107,217830918,238123590,118835067,153996931,158266560,58545140,21329555,7253006,1305192,421148,00-00000-20201007
National,2020-10-08,,,,,82680980,244486454,917231454,205957247,220348992,110114541,143912828,149950167,56187377,21398404,7574045,1361985,425868,00-00000-20201008
National,2020-10-09,,,,,83449381,243718053,959027493,210582078,234632639,116996052,151448326,154478434,57408244,22974224,8700302,1431731,375463,00-00000-20201009
National,2020-10-10,,,,,89573421,237594013,908120493,200701537,227317835,113065244,143219275,139998099,52011265,22146981,8029960,1286689,343608,00-00000-20201010
National,2020-10-11,,,,,91120636,236046798,797160067,179804776,200960428,98572849,123323251,117488814,43813572,21520539,9784127,1574952,316759,00-00000-20201011
National,2020-10-12,,,,,86773180,240394254,885734103,201380246,215893622,106577739,137140458,140201552,52988589,21399172,8391768,1438950,322007,00-00000-20201012
National,2020-10-13,,,,,82898006,244269428,924921624,212396435,224488567,110664771,143196856,147948867,55570859,21000121,7788626,1434099,432423,00-00000-20201013
National,2020-10-14,,,,,80558636,246608798,935231789,214123057,225954456,111997153,145505644,150172896,56113473,21297889,7974827,1524665,567729,00-00000-20201014
National,2020-10-15,,,,,83846967,243320467,872319705,193803218,210258267,104046265,135869810,142279727,53887309,21412222,8487532,1673407,601948,00-00000-20201015
National,2020-10-16,,,,,79142291,248025143,953393264,213353792,232056776,115536999,149504318,152087896,56521695,22858525,9183779,1664781,624703,00-00000-20201016
National,2020-10-17,,,,,85654448,241512986,922837682,213390260,230533568,114069613,143745301,137406068,50879477,22215864,8571921,1514579,511031,00-00000-20201017
National,2020-10-18,,,,,89258968,237908466,809899738,185157621,205123129,100325249,125128514,117362340,43655717,21239311,9705219,1692795,509843,00-00000-20201018
National,2020-10-19,,,,,82900557,244266877,916695930,210839283,225523987,110440700,140929028,143986274,54064761,20921809,7964324,1474503,551261,00-00000-20201019
National,2020-10-20,,,,,84283625,242883809,910036247,206593579,222103557,109170522,141006056,145917163,55147324,20745787,7443935,1395414,512910,00-00000-20201020
National,2020-10-21,,,,,85932270,241235164,890506921,200050742,218581270,106861139,137161314,142209139,54390616,21070218,8080402,1547071,555010,00-00000-20201021
National,2020-10-22,,,,,82030208,245137226,950363357,217298342,233386017,114935664,146566638,149404196,56281803,22200003,8269465,1496312,524917,00-00000-20201022
National,2020-10-23,,,,,78280226,248887208,1025828389,235101126,253603012,125658334,159279110,158207270,58724628,24007583,9197354,1521058,528914,00-00000-20201023
National,2020-10-24,,,,,83959975,243207459,1000736605,233294803,255240614,125845327,155088670,146473141,53079974,22228248,7838790,1233394,413644,00-00000-20201024
National,2020-10-25,,,,,87375366,239792068,855544766,203966011,221688167,106362340,129629231,118943070,43116586,20413426,9373154,1512947,539834,00-00000-20201025
National,2020-10-26,,,,,84616913,242550521,926179430,214230773,233429217,113142726,142656421,142394372,52519156,19143112,6955423,1222522,485708,00-00000-20201026
National,2020-10-27,,,,,84043811,243123623,942918487,217186687,234758530,114845098,145462314,147032450,54600977,20298745,7011918,1284320,437448,00-00000-20201027
National,2020-10-28,,,,,82211256,244956178,939266639,213930016,233584796,114468544,145413615,147359359,54891503,20585744,7203077,1340436,489549,00-00000-20201028
National,2020-10-29,,,,,83452335,243715099,951047212,218466660,235947005,115904047,146788303,148033815,54924453,21191416,7804182,1449637,537694,00-00000-20201029
National,2020-10-30,,,,,83213711,243953723,1006790784,230304875,252559639,124502388,156265399,153736578,56135308,22433478,8866495,1481081,505543,00-00000-20201030
National,2020-10-31,,,,,89854236,237313198,977503191,226118601,250860409,123406057,151565646,142132722,51680330,21951800,8044143,1301940,441543,00-00000-20201031
National,2020-11-01,,,,,95833341,231334093,997688745,237448612,261891931,121483202,148796448,144332395,51995189,20743553,8528289,1793090,676036,00-00000-20201101
National,2020-11-02,,,,,92948573,234218861,1051306449,248028709,286796950,130811439,155700270,148939606,52998827,19779521,6744648,1101635,404844,00-00000-20201102
National,2020-11-03,,,,,85807825,241359609,954506617,225551020,255894740,118566082,142416906,137012586,49048358,18429102,6245397,987829,354597,00-00000-20201103
National,2020-11-04,,,,,88370943,238796491,935551513,221815307,243153194,116409288,141590496,136961328,49121438,18641242,6458151,1033106,367963,00-00000-20201104
National,2020-11-05,,,,,92740595,234426839,1026118471,243554891,266385722,128393537,155525531,149048861,53012268,20588262,7787758,1357385,464256,00-00000-20201105
National,2020-11-06,,,,,93192175,233975259,1074394410,256080755,275680715,132565738,162754843,156430645,56017994,22860065,9604017,1792910,606728,00-00000-20201106
National,2020-11-07,,,,,97141380,230026054,993242690,238314610,249849447,120836299,150606517,145703567,52528704,22315509,10238596,2073299,776142,00-00000-20201107
National,2020-11-08,,,,,107414989,219752445,935013798,217581412,241631677,114752368,144098844,139801872,50069445,18490974,6628776,1351322,607108,00-00000-20201108
National,2020-11-09,,,,,95669941,231497493,992587087,231226324,257953869,122074802,150865882,146493156,53484349,21098622,7664865,1260381,464837,00-00000-20201109
National,2020-11-10,,,,,91494335,235673099,999924643,233239764,260300073,122803393,150576630,147498497,54316810,21599530,7872479,1275987,441480,00-00000-20201110
National,2020-11-11,,,,,92971357,234196077,967041268,226875025,242589987,119120575,148137597,145717769,53295643,21271989,8164951,1386239,481493,00-00000-20201111
National,2020-11-12,,,,,92493969,234673465,961984931,225750111,245189653,118498876,145297570,143109676,52755310,21225746,8219449,1431982,506558,00-00000-20201112
National,2020-11-13,,,,,90735259,236432175,1009680904,236049145,258740900,124322612,153695028,150386104,54604242,21516842,8397032,1480294,488705,00-00000-20201113
National,2020-11-14,,,,,96282398,230885036,969660209,224930833,250075168,122530591,150465430,144234738,49173058,18780247,7671757,1343391,454996,00-00000-20201114
National,2020-11-15,,,,,96683319,230484115,900841539,210260422,231830418,110834122,136209007,132137738,48058495,19982778,8835506,1861941,831112,00-00000-20201115
National,2020-11-16,,,,,97430699,229736735,978663536,231982926,256554231,121213861,148659289,143780504,49098366,16831546,8070683,1741520,730610,00-00000-20201116
National,2020-11-17,,,,,97573501,229593933,989568973,234805101,259934985,122714018,150290148,145112889,49573515,16971134,7726729,1711083,729371,00-00000-20201117
National,2020-11-18,,,,,95954135,231213299,1027444626,248373480,269543706,126367337,154455563,149041180,51172462,17999411,7953887,1787348,750252,00-00000-20201118
National,2020-11-19,,,,,93468789,233698645,1023244380,247800254,266987840,125041236,152756826,147639120,52272385,20187095,8050777,1765481,743366,00-00000-20201119
National,2020-11-20,,,,,92068777,235098657,956927423,223417886,244773240,117098300,143579157,139779548,53139601,23609611,8890314,1864123,775643,00-00000-20201120
National,2020-11-21,,,,,97329319,229838115,922868472,212777197,233965980,113197921,138925704,135239553,52838748,25181630,8163466,1786976,791297,00-00000-20201121
National,2020-11-22,,,,,98644681,228522753,823963883,186070050,221626712,105684555,126133038,113206195,40358856,19880660,8395637,1847891,760289,00-00000-20201122
National,2020-11-23,,,,,94876447,232290987,911441007,207389629,231907916,111787999,138225159,137447219,52167000,22169009,7917245,1712012,717819,00-00000-20201123
National,2020-11-24,,,,,93532032,233635402,945982923,215285267,240727600,116035856,143476340,142668501,54147056,23010378,8063006,1821075,747844,00-00000-20201124
National,2020-11-25,,,,,90715521,236451913,979388885,225664638,258135284,121867405,146978031,141072861,51814257,22534472,8840678,1832999,648260,00-00000-20201125
National,2020-11-26,,,,,99956608,227210826,759256317,170300057,191813649,90632310,115112108,114828334,44486618,21791709,8101302,1554159,636071,00-00000-20201126
National,2020-11-27,,,,,94566045,232601389,966802210,228094987,247565073,121246190,148586118,138251898,49974835,22443813,8305110,1617261,716925,00-00000-20201127
National,2020-11-28,,,,,96418274,230749160,892611467,205626462,232432143,113289921,137034943,126190108,45639545,21352901,8433925,1827856,783663,00-00000-20201128
National,2020-11-29,,,,,98395707,228771727,863345786,200558413,230417188,111089504,131860272,116519118,40648922,20310796,9178836,2009062,753675,00-00000-20201129
National,2020-11-30,,,,,96407795,230759639,924663413,215232155,233230950,111576840,139217211,140210448,53201069,21774623,7747586,1744641,727890,00-00000-20201130
National,2020-12-01,,,,,88894936,238272498,1010844101,240136235,255139554,122607720,151907633,152395205,56631105,22225018,7439910,1680569,681152,00-00000-20201201
National,2020-12-02,,,,,87452928,239714506,1031070121,243868631,258354067,125715136,157160213,156180284,57385972,22476719,7577652,1674752,676695,00-00000-20201202
National,2020-12-03,,,,,87338159,239829275,1036833502,247028528,259562375,125883839,156854237,156419691,57783229,23061687,7783235,1715339,741342,00-00000-20201203
National,2020-12-04,,,,,85952637,241214797,1065057205,253036056,268593908,130287013,161075799,159507640,58428255,23676009,8106499,1649631,696395,00-00000-20201204
National,2020-12-05,,,,,90971351,236196083,1018511389,243576148,264334551,128710154,155618898,143722691,50936079,21827025,7457620,1583374,744849,00-00000-20201205
National,2020-12-06,,,,,95240885,231926549,886148807,211441229,232863841,111886873,134994657,121799564,42772432,20038857,7854872,1708606,787876,00-00000-20201206
National,2020-12-07,,,,,94192786,232974648,901298996,209539953,224806262,108294345,135766506,137579593,53019837,22067786,7712477,1694421,817816,00-00000-20201207
National,2020-12-08,,,,,90692711,236474723,941621552,219730262,233644766,113045406,142445988,145114040,55267057,22527814,7455138,1651156,739925,00-00000-20201208
National,2020-12-09,,,,,89686468,237480966,935899933,221445441,230764590,111347670,140756964,143495268,55310954,22678653,7660681,1697783,741929,00-00000-20201209
National,2020-12-10,,,,,89807391,237360043,970458875,231314575,242386530,116506456,145674626,146505682,55631683,22560150,7455209,1629828,794136,00-00000-20201210
National,2020-12-11,,,,,92325806,234841628,980397618,230839249,243969492,117705987,148308519,150166863,56480720,22805200,7681080,1635547,804961,00-00000-20201211
National,2020-12-12,,,,,96179478,230987956,935956820,223379870,243274896,116126643,141001656,132539933,48392901,21246405,7499794,1658323,836399,00-00000-20201212
National,2020-12-13,,,,,99275058,227892376,819466703,192686359,215184767,102607855,124141407,113747707,40902885,19637601,8027034,1741622,789466,00-00000-20201213
National,2020-12-14,,,,,93045830,234121604,917877431,212778381,230125147,110737292,138938522,139874895,53551857,21944877,7564559,1624540,737361,00-00000-20201214
National,2020-12-15,,,,,90259411,236908023,952153514,224766148,235869310,114016855,143217136,145720491,55899122,22736091,7638832,1637905,651624,00-00000-20201215
National,2020-12-16,,,,,93281442,233885992,912376402,214582832,225983852,108568955,137149200,139719984,53561062,22329439,7959497,1786583,734998,00-00000-20201216
National,2020-12-17,,,,,92629781,234537653,944386417,222250791,237301932,113352409,141946578,142617071,53797095,22424577,8107823,1825736,762405,00-00000-20201217
National,2020-12-18,,,,,93247251,233920183,1002574294,230447737,249174175,120929830,152091340,154196452,58853383,25096538,9112386,1922232,750221,00-00000-20201218
National,2020-12-19,,,,,97844027,229323407,953812474,219361993,244206719,118933410,146296220,139218967,51373129,23274985,8600858,1862163,684030,00-00000-20201219
National,2020-12-20,,,,,100444385,226723049,763812840,178468439,197596997,95184775,115707939,107837587,39324514,19306867,8028917,1786571,570234,00-00000-20201220
National,2020-12-21,,,,,97399960,229767474,905574614,204535259,221746432,108658979,137664274,141675831,55646171,24282602,8871232,1911962,581872,00-00000-20201221
National,2020-12-22,,,,,99520423,227647011,953613955,195116893,226582626,114900093,149843534,160130576,64318277,28735606,10757851,2487678,740821,00-00000-20201222
National,2020-12-23,,,,,100788799,226378635,979881618,201397548,237180747,119676810,154417348,161079847,63528194,28325424,10876114,2552082,847504,00-00000-20201223
National,2020-12-24,,,,,102151030,225016404,856588903,171548068,219132123,109321456,137049227,134636779,50209006,23059961,8912976,1952114,767193,00-00000-20201224
National,2020-12-25,,,,,108619120,218548314,524239023,105149292,129168400,63437431,83124196,83870571,33525060,17245249,6649625,1360872,708327,00-00000-20201225
National,2020-12-26,,,,,101887440,225279994,854608584,190490932,220396762,107403527,131821296,123620043,46203795,22890844,9070187,1884439,826759,00-00000-20201226
National,2020-12-27,,,,,103056355,224111079,829242089,200139383,206461832,102195887,126104352,121362954,39817025,17850978,11889285,2524262,896131,00-00000-20201227
National,2020-12-28,,,,,94464436,232702998,931787272,222692512,229297493,113986783,143166694,145595464,48109376,17332450,8917207,1896025,793268,00-00000-20201228
National,2020-12-29,,,,,93195518,233971916,954630852,227638413,234476275,116466145,147101126,150393662,49637287,17646204,8677951,1825322,768467,00-00000-20201229
National,2020-12-30,,,,,92339735,234827699,976199358,231083187,242010298,120130113,150336911,152305289,49976453,18191720,9443754,1950155,771478,00-00000-20201230
National,2020-12-31,,,,,91123825,236043609,987401805,241128181,255027801,123167661,149760282,145393631,45563679,16406169,8532462,1708327,713612,00-00000-20201231
National,2021-01-01,,,,,106167226,221000208,790503267,191976720,201909276,98274173,120137232,114811577,37126730,15210843,8531713,1770282,754721,00-00000-20210101
National,2021-01-02,,,,,96075000,231092434,938141270,226609600,233736572,116075572,142728212,138751428,46834889,19677212,10737016,2206978,783791,00-00000-20210102
National,2021-01-03,,,,,103932099,223235335,825876051,200742215,210172543,103048474,125734194,118264681,37667978,16368601,10715785,2337800,823780,00-00000-20210103
National,2021-01-04,,,,,88044725,239122709,961565435,240835344,244044788,119697358,147926449,139901012,45453343,13818028,7582331,1639433,667349,00-00000-20210104
National,2021-01-05,,,,,86277643,240889791,940738939,233022863,235922335,115930067,145984175,140484725,46042269,13912840,7211149,1610845,617671,00-00000-20210105
National,2021-01-06,,,,,82245218,244922216,969561253,238769542,242778085,121077688,151211073,144248358,46556789,14362231,8043557,1835372,678558,00-00000-20210106
National,2021-01-07,,,,,82558442,244608992,961683550,238936967,239667457,119358579,149045343,142275103,46634214,14650485,8455542,1907679,752181,00-00000-20210107
National,2021-01-08,,,,,81957596,245209838,1017319786,257025393,254816829,126482744,156435584,146681096,47531139,15732913,9798183,2027719,788186,00-00000-20210108
National,2021-01-09,,,,,85939629,241227805,1000380342,258135003,252170825,125221826,151924303,137128676,45671634,17208078,10126396,1942894,850707,00-00000-20210109
National,2021-01-10,,,,,92706064,234461370,875015777,231730259,227767766,110511701,131721067,113597364,35826658,14152393,7244171,1485006,979392,00-00000-20210110
National,2021-01-11,,,,,87094488,240072946,936727520,235860545,237925369,117233079,144648226,136002735,43871109,13557569,5564945,1264480,799463,00-00000-20210111
National,2021-01-12,,,,,85569560,241597874,939832920,232818967,237077430,116827107,146225305,139524278,45540971,14177883,5569293,1278370,793316,00-00000-20210112
National,2021-01-13,,,,,83880179,243287255,965646043,240255441,242974183,120899253,150709791,142369420,46057834,14380971,5807395,1342040,849715,00-00000-20210113
National,2021-01-14,,,,,83314082,243853352,972335191,245232326,242443208,120728920,150738936,143621452,46757322,14647009,5994232,1351197,820589,00-00000-20210114
